"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030902","GO:0030902","hindbrain development","9/85","157/18870",3.64306110142523e-08,6.47736263833405e-05,5.36488682199357e-05,"HNRNPD/NEUROD1/PHOX2B/NOG/NFIB/RORA/TBR1/NEUROD2/DLL1",9
"GO:0045664","GO:0045664","regulation of neuron differentiation","9/85","198/18870",2.65997581137479e-07,0.000236471849631218,0.000195858218953333,"NEUROD1/BDNF/PHOX2B/TLX3/BCL11A/NEUROD2/CASZ1/ZNF536/DLL1",9
"GO:0009952","GO:0009952","anterior/posterior pattern specification","9/85","219/18870",6.21555350515184e-07,0.000368375137738666,0.00030510734574412,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3/FOXB1/NOG/TBX18/DLL1",9
"GO:0007389","GO:0007389","pattern specification process","12/85","475/18870",1.40201680277269e-06,0.00062319646883246,0.000516163554494471,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3/MEIS2/FOXB1/NOG/TBX18/TBR1/RNF111/DLL1",12
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","3/85","11/18870",1.41800212485207e-05,0.00428251676171401,0.00354700192388721,"HNRNPD/IGF2BP3/SYNCRIP",3
"GO:0030900","GO:0030900","forebrain development","10/85","407/18870",1.44516876098335e-05,0.00428251676171401,0.00354700192388721,"FOXP1/OTP/NEUROD1/PAX5/NR2F2/FOXB1/NOG/NFIB/SALL1/TBR1",10
"GO:0003002","GO:0003002","regionalization","10/85","430/18870",2.31677201443454e-05,0.00505937831265957,0.00419043884874237,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3/FOXB1/NOG/TBX18/TBR1/DLL1",10
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","9/85","353/18870",2.98718655793287e-05,0.00505937831265957,0.00419043884874237,"FOXP1/EP300/NR2F2/CNOT1/NR2F1/RORA/MAP2K6/RBFOX2/ZNF536",9
"GO:0007611","GO:0007611","learning or memory","8/85","274/18870",3.26697787594758e-05,0.00505937831265957,0.00419043884874237,"EP300/BDNF/MEIS2/SLC12A5/FOXB1/NOG/TBR1/NEUROD2",8
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","9/85","362/18870",3.63540566737023e-05,0.00505937831265957,0.00419043884874237,"HNRNPD/CNOT1/IGF2BP3/SYNCRIP/CELF6/MIR212/CNOT4/TAF15/RBFOX2",9
"GO:0072148","GO:0072148","epithelial cell fate commitment","3/85","15/18870",3.85959738419653e-05,0.00505937831265957,0.00419043884874237,"NEUROD1/NR2F2/DLL1",3
"GO:0008306","GO:0008306","associative learning","5/85","85/18870",4.07030246604031e-05,0.00505937831265957,0.00419043884874237,"MEIS2/FOXB1/NOG/TBR1/NEUROD2",5
"GO:0061053","GO:0061053","somite development","5/85","85/18870",4.07030246604031e-05,0.00505937831265957,0.00419043884874237,"EP300/FOXB1/NOG/TBX18/DLL1",5
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","7/85","208/18870",4.26180123994393e-05,0.00505937831265957,0.00419043884874237,"HNRNPD/EP300/IGF2BP3/SYNCRIP/LRPPRC/TAF15/TAB2",7
"GO:0045165","GO:0045165","cell fate commitment","8/85","286/18870",4.42623982798158e-05,0.00505937831265957,0.00419043884874237,"NEUROD1/NR2F2/TBX18/NFIB/MITF/TLX3/TBR1/DLL1",8
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","5/85","87/18870",4.55287137247205e-05,0.00505937831265957,0.00419043884874237,"HNRNPD/IGF2BP3/SYNCRIP/LRPPRC/TAF15",5
"GO:0008380","GO:0008380","RNA splicing","10/85","478/18870",5.66438094441254e-05,0.00588036195116684,0.00487041996902635,"SYNCRIP/CELF6/CLK2/PAXBP1/TAF15/HNRNPH3/DDX46/SREK1/SRSF11/RBFOX2",10
"GO:0007612","GO:0007612","learning","6/85","150/18870",5.95312233526452e-05,0.00588036195116684,0.00487041996902635,"MEIS2/SLC12A5/FOXB1/NOG/TBR1/NEUROD2",6
"GO:0010171","GO:0010171","body morphogenesis","4/85","49/18870",6.96034823453934e-05,0.0065134206110584,0.00539475190034379,"EP300/SSBP3/NOG/CLASP1",4
"GO:0050890","GO:0050890","cognition","8/85","317/18870",9.09731230248742e-05,0.00778245154980635,0.00644582897293179,"EP300/BDNF/MEIS2/SLC12A5/FOXB1/NOG/TBR1/NEUROD2",8
"GO:0043488","GO:0043488","regulation of mRNA stability","7/85","235/18870",9.1918719092201e-05,0.00778245154980635,0.00644582897293179,"HNRNPD/CNOT1/IGF2BP3/SYNCRIP/MIR212/CNOT4/TAF15",7
"GO:0021549","GO:0021549","cerebellum development","5/85","104/18870",0.000106730435439403,0.00862575973687536,0.00714430043922126,"HNRNPD/NEUROD1/RORA/NEUROD2/DLL1",5
"GO:0043487","GO:0043487","regulation of RNA stability","7/85","247/18870",0.000125287916021222,0.00968530063851008,0.00802186702579812,"HNRNPD/CNOT1/IGF2BP3/SYNCRIP/MIR212/CNOT4/TAF15",7
"GO:0001708","GO:0001708","cell fate specification","5/85","110/18870",0.000139078781282986,0.0100091007273998,0.00829005501014286,"TBX18/NFIB/TLX3/TBR1/DLL1",5
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","7/85","252/18870",0.000141820943161693,0.0100091007273998,0.00829005501014286,"HNRNPD/CNOT1/IGF2BP3/SYNCRIP/MIR212/CNOT4/TAF15",7
"GO:0021533","GO:0021533","cell differentiation in hindbrain","3/85","23/18870",0.000146364802537905,0.0100091007273998,0.00829005501014286,"PHOX2B/NOG/RORA",3
"GO:0022037","GO:0022037","metencephalon development","5/85","114/18870",0.000164488441581502,0.010831868486367,0.00897151383128736,"HNRNPD/NEUROD1/RORA/NEUROD2/DLL1",5
"GO:0007517","GO:0007517","muscle organ development","8/85","354/18870",0.000194175940157286,0.0123301721999877,0.0102124864766934,"PAX5/EP300/NR2F2/PHOX2B/NOG/PAXBP1/EGR3/DLL1",8
"GO:0048255","GO:0048255","mRNA stabilization","4/85","65/18870",0.000210564364046253,0.0126114186963476,0.0104454293743356,"HNRNPD/IGF2BP3/SYNCRIP/TAF15",4
