"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","11/84","471/18496",9.04252153784922e-06,0.00109642862299779,0.000984106517822265,"HOXB7/NEUROD1/PAX5/MEIS2/PLAG1/PHOX2B/NFIB/MITF/EGR3/NEUROD2/CASZ1",11
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","11/84","475/18496",9.78954127676599e-06,0.00109642862299779,0.000984106517822265,"HOXB7/NEUROD1/PAX5/MEIS2/PLAG1/PHOX2B/NFIB/MITF/EGR3/NEUROD2/CASZ1",11
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","9/84","326/18496",1.69591711752135e-05,0.0011502207558959,0.00103238799048927,"FOXP1/OTP/TBX18/NR2F1/SALL1/MITF/SATB1/BCL11A/ZNF536",9
"GO:0001217","GO:0001217","DNA-binding transcription repressor activity","9/84","334/18496",2.05396563552839e-05,0.0011502207558959,0.00103238799048927,"FOXP1/OTP/TBX18/NR2F1/SALL1/MITF/SATB1/BCL11A/ZNF536",9
"GO:0008013","GO:0008013","beta-catenin binding","4/84","85/18496",0.000605912068405131,0.0271448606645499,0.024364043171659,"EP300/BTRC/SALL1/RORA",4
"GO:0001223","GO:0001223","transcription coactivator binding","3/84","44/18496",0.00104628013837684,0.0364432830830122,0.0327099016393578,"EP300/CIT/RORA",3
"GO:0003730","GO:0003730","mRNA 3'-UTR binding","6/84","258/18496",0.00113885259634413,0.0364432830830122,0.0327099016393578,"HNRNPD/IGF2BP3/MIR212/LRPPRC/TAF15/ELAVL2",6
"GO:0140030","GO:0140030","modification-dependent protein binding","5/84","184/18496",0.00150992618481561,0.0381003693699333,0.0341972300265849,"KMT2E/TAB2/ZMYND8/ZZZ3/AGAP3",5
"GO:0004879","GO:0004879","nuclear receptor activity","3/84","52/18496",0.00170090934687202,0.0381003693699333,0.0341972300265849,"NR2F2/NR2F1/RORA",3
"GO:0098531","GO:0098531","ligand-activated transcription factor activity","3/84","52/18496",0.00170090934687202,0.0381003693699333,0.0341972300265849,"NR2F2/NR2F1/RORA",3
"GO:0070888","GO:0070888","E-box binding","3/84","59/18496",0.00244559242499378,0.049801154836237,0.0446993448013218,"NEUROD1/MITF/NEUROD2",3
