"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","11/83","471/18496",8.04001191959282e-06,0.000957652868948622,0.000875175588369315,"SP7/LHX2/MITF/CASZ1/MEIS2/HOXC4/GSX1/NR2E1/HOXB7/TCF4/POU2F1",11
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","11/83","475/18496",8.7059351722602e-06,0.000957652868948622,0.000875175588369315,"SP7/LHX2/MITF/CASZ1/MEIS2/HOXC4/GSX1/NR2E1/HOXB7/TCF4/POU2F1",11
"GO:0001227","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","9/83","326/18496",1.53772285390584e-05,0.0010247006180893,0.000936448890215583,"OTP/MITF/SATB1/EN1/NR2F1/NR2E1/BCL11A/ZFHX3/BHLHE41",9
"GO:0001217","GO:0001217","DNA-binding transcription repressor activity","9/83","334/18496",1.86309203288964e-05,0.0010247006180893,0.000936448890215583,"OTP/MITF/SATB1/EN1/NR2F1/NR2E1/BCL11A/ZFHX3/BHLHE41",9
"GO:0008013","GO:0008013","beta-catenin binding","5/83","85/18496",3.98806765797135e-05,0.00175474976950739,0.00160362299510006,"BTRC/CTNNA2/RORA/TCF4/CALCOCO1",5
"GO:0004879","GO:0004879","nuclear receptor activity","4/83","52/18496",8.6621377571639e-05,0.00272238615225151,0.00248792227311023,"NR2F2/NR2F1/NR2E1/RORA",4
"GO:0098531","GO:0098531","ligand-activated transcription factor activity","4/83","52/18496",8.6621377571639e-05,0.00272238615225151,0.00248792227311023,"NR2F2/NR2F1/NR2E1/RORA",4
"GO:0045322","GO:0045322","unmethylated CpG binding","2/83","10/18496",0.00087463011479804,0.0240523281569461,0.0219808357797928,"KDM2A/KMT2B",2
"GO:0001222","GO:0001222","transcription corepressor binding","3/83","47/18496",0.00122537162807617,0.0299535286863064,0.0273737989429882,"LCOR/RORA/PHF12",3
"GO:0003714","GO:0003714","transcription corepressor activity","5/83","194/18496",0.00180636479082063,0.0397400253980539,0.0363174394786043,"LCOR/PEX14/BCOR/PHF12/ZFPM2",5
"GO:0070888","GO:0070888","E-box binding","3/83","59/18496",0.00236356939894406,0.0470011093999403,0.0429531669635818,"MITF/TCF4/BHLHE41",3
"GO:0042826","GO:0042826","histone deacetylase binding","4/83","127/18496",0.00256369687636038,0.0470011093999403,0.0429531669635818,"LCOR/BCOR/NR2E1/BHLHE41",4
