"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048663","GO:0048663","neuron fate commitment","5/84","73/18870",1.83549999730445e-05,0.0141746337132965,0.0128564000210022,"DLX1/GSX1/TLX3/TBR1/DLL1",5
"GO:0045664","GO:0045664","regulation of neuron differentiation","7/84","198/18870",2.88235520522127e-05,0.0141746337132965,0.0128564000210022,"BDNF/PHOX2B/DLX1/TLX3/CDK5RAP3/CASZ1/DLL1",7
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","7/84","208/18870",3.9473123596823e-05,0.0141746337132965,0.0128564000210022,"HNRNPD/IGF2BP3/EP300/TAF15/FUS/TAB2/LRPPRC",7
"GO:0045165","GO:0045165","cell fate commitment","8/84","286/18870",4.06233182517619e-05,0.0141746337132965,0.0128564000210022,"DLX1/GSX1/TLX3/TBX18/MITF/TBR1/DLL1/SOCS3",8
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","5/84","87/18870",4.30055634505355e-05,0.0141746337132965,0.0128564000210022,"HNRNPD/IGF2BP3/TAF15/FUS/LRPPRC",5
"GO:0009895","GO:0009895","negative regulation of catabolic process","8/84","349/18870",0.000162243187546104,0.0428682678133764,0.0388815408118258,"HNRNPD/IGF2BP3/EP300/TAF15/FUS/TAB2/CDK5RAP3/LRPPRC",8
"GO:0048255","GO:0048255","mRNA stabilization","4/84","65/18870",0.000201173024608399,0.0428682678133764,0.0388815408118258,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","8/84","362/18870",0.000208098387443575,0.0428682678133764,0.0388815408118258,"HNRNPD/IGF2BP3/CELF6/TAF15/RBFOX2/FUS/CNOT1/MIR212",8
"GO:0008380","GO:0008380","RNA splicing","9/84","478/18870",0.000272439306431301,0.0442636603481686,0.0401471625539087,"SRSF11/CELF6/TAF15/CLK2/RBFOX2/FUS/SREK1/HNRNPH3/RSRC1",9
"GO:0007623","GO:0007623","circadian rhythm","6/84","204/18870",0.000299206447789996,0.0442636603481686,0.0401471625539087,"HNRNPD/KDM2A/EP300/BTRC/EGR3/ADRB1",6
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","4/84","73/18870",0.000314794708910004,0.0442636603481686,0.0401471625539087,"PHOX2B/DLX1/TLX3/DLL1",4
"GO:0043489","GO:0043489","RNA stabilization","4/84","74/18870",0.000331662026740882,0.0442636603481686,0.0401471625539087,"HNRNPD/IGF2BP3/TAF15/FUS",4
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","4/84","75/18870",0.000349167223620262,0.0442636603481686,0.0401471625539087,"HNRNPD/IGF2BP3/TAF15/FUS",4
