"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009952","GO:0009952","anterior/posterior pattern specification","5/22","219/18870",4.50967582075679e-06,0.00351303746436954,0.00235927250833276,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3",5
"GO:0007389","GO:0007389","pattern specification process","6/22","475/18870",1.30531166778453e-05,0.00508418894602074,0.00341442052046795,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3/MEIS2",6
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","2/22","11/18870",7.09122622972247e-05,0.0138021604407529,0.00926920307959488,"HNRNPD/IGF2BP3",2
"GO:0033143","GO:0033143","regulation of intracellular steroid hormone receptor signaling pathway","3/22","73/18870",8.11380428222523e-05,0.0138021604407529,0.00926920307959488,"FOXP1/EP300/CNOT1",3
"GO:0030900","GO:0030900","forebrain development","5/22","407/18870",8.85889630343575e-05,0.0138021604407529,0.00926920307959488,"FOXP1/OTP/NEUROD1/PAX5/NR2F2",5
"GO:0003002","GO:0003002","regionalization","5/22","430/18870",0.000114749136949847,0.0148982629473218,0.0100053194849253,"HOXB7/NEUROD1/EP300/NR2F2/SSBP3",5
"GO:0072148","GO:0072148","epithelial cell fate commitment","2/22","15/18870",0.000134995889499357,0.0150231139885713,0.010089166478373,"NEUROD1/NR2F2",2
"GO:0033962","GO:0033962","P-body assembly","2/22","21/18870",0.000268849902633757,0.0255794259291309,0.0171785348108615,"ATXN2/CNOT1",2
"GO:2000679","GO:2000679","positive regulation of transcription regulatory region DNA binding","2/22","22/18870",0.000295526101876993,0.0255794259291309,0.0171785348108615,"NEUROD1/EP300",2
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","3/22","122/18870",0.00037116889559158,0.0271048300029555,0.0182029599506369,"FOXP1/EP300/CNOT1",3
"GO:1900151","GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","2/22","26/18870",0.000414610678914557,0.0271048300029555,0.0182029599506369,"HNRNPD/CNOT1",2
"GO:0051099","GO:0051099","positive regulation of binding","3/22","127/18870",0.000417532682972356,0.0271048300029555,0.0182029599506369,"NEUROD1/EP300/BDNF",3
"GO:0060765","GO:0060765","regulation of androgen receptor signaling pathway","2/22","29/18870",0.000516848497716658,0.0296175289456102,0.0198904288709794,"FOXP1/EP300",2
"GO:0043401","GO:0043401","steroid hormone mediated signaling pathway","3/22","138/18870",0.000532279082462828,0.0296175289456102,0.0198904288709794,"FOXP1/EP300/CNOT1",3
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","4/22","353/18870",0.000674521725320953,0.0350301616016682,0.0235254243848782,"FOXP1/EP300/NR2F2/CNOT1",4
"GO:0033144","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","2/22","37/18870",0.000843061116798527,0.03839644473474,0.0257861401704828,"FOXP1/CNOT1",2
"GO:0060323","GO:0060323","head morphogenesis","2/22","37/18870",0.000843061116798527,0.03839644473474,0.0257861401704828,"EP300/SSBP3",2
"GO:0007519","GO:0007519","skeletal muscle tissue development","3/22","166/18870",0.000910460830936573,0.03839644473474,0.0257861401704828,"PAX5/EP300/NR2F2",3
"GO:2000677","GO:2000677","regulation of transcription regulatory region DNA binding","2/22","40/18870",0.000985280836472892,0.03839644473474,0.0257861401704828,"NEUROD1/EP300",2
"GO:0043388","GO:0043388","positive regulation of DNA binding","2/22","41/18870",0.00103507745754755,0.03839644473474,0.0257861401704828,"NEUROD1/EP300",2
"GO:0051154","GO:0051154","negative regulation of striated muscle cell differentiation","2/22","41/18870",0.00103507745754755,0.03839644473474,0.0257861401704828,"FOXP1/BDNF",2
"GO:0060538","GO:0060538","skeletal muscle organ development","3/22","178/18870",0.00111378101652306,0.0394379732668847,0.0264856059910029,"PAX5/EP300/NR2F2",3
"GO:0030099","GO:0030099","myeloid cell differentiation","4/22","430/18870",0.00140430560004103,0.0437667203758144,0.029392689719316,"FOXP1/HOXB7/EP300/MEIS2",4
"GO:0009755","GO:0009755","hormone-mediated signaling pathway","3/22","193/18870",0.00140563352348764,0.0437667203758144,0.029392689719316,"FOXP1/EP300/CNOT1",3
"GO:0060537","GO:0060537","muscle tissue development","4/22","433/18870",0.00144072910957058,0.0437667203758144,0.029392689719316,"FOXP1/PAX5/EP300/NR2F2",4
"GO:0010171","GO:0010171","body morphogenesis","2/22","49/18870",0.00147609866540222,0.0437667203758144,0.029392689719316,"EP300/SSBP3",2
"GO:0030521","GO:0030521","androgen receptor signaling pathway","2/22","50/18870",0.00153651872363548,0.0437667203758144,0.029392689719316,"FOXP1/EP300",2
"GO:0007623","GO:0007623","circadian rhythm","3/22","204/18870",0.00164761193972348,0.0437667203758144,0.029392689719316,"HNRNPD/KDM2A/EP300",3
"GO:0048568","GO:0048568","embryonic organ development","4/22","453/18870",0.00170070188963071,0.0437667203758144,0.029392689719316,"HOXB7/NEUROD1/PAX5/NR2F2",4
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","3/22","208/18870",0.00174167950147657,0.0437667203758144,0.029392689719316,"HNRNPD/EP300/IGF2BP3",3
"GO:0071383","GO:0071383","cellular response to steroid hormone stimulus","3/22","208/18870",0.00174167950147657,0.0437667203758144,0.029392689719316,"FOXP1/EP300/CNOT1",3
