"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048255","GO:0048255","mRNA stabilization","3/20","65/18870",4.26472714954585e-05,0.00754380438646212,0.0051422497005672,"HNRNPD/IGF2BP3/TAF15",3
"GO:0070934","GO:0070934","CRD-mediated mRNA stabilization","2/20","11/18870",5.83632160910979e-05,0.00754380438646212,0.0051422497005672,"HNRNPD/IGF2BP3",2
"GO:0031330","GO:0031330","negative regulation of cellular catabolic process","4/20","208/18870",6.050269818791e-05,0.00754380438646212,0.0051422497005672,"HNRNPD/IGF2BP3/EP300/TAF15",4
"GO:0043489","GO:0043489","RNA stabilization","3/20","74/18870",6.29075389536607e-05,0.00754380438646212,0.0051422497005672,"HNRNPD/IGF2BP3/TAF15",3
"GO:1902373","GO:1902373","negative regulation of mRNA catabolic process","3/20","75/18870",6.54844130769281e-05,0.00754380438646212,0.0051422497005672,"HNRNPD/IGF2BP3/TAF15",3
"GO:1902369","GO:1902369","negative regulation of RNA catabolic process","3/20","87/18870",0.000101961575056101,0.00978831120538572,0.00667222236770627,"HNRNPD/IGF2BP3/TAF15",3
"GO:0072578","GO:0072578","neurotransmitter-gated ion channel clustering","2/20","17/18870",0.000143766734247485,0.0107756474847401,0.00734524216339192,"LHFPL4/GPHN",2
"GO:1903312","GO:1903312","negative regulation of mRNA metabolic process","3/20","99/18870",0.00014966177062139,0.0107756474847401,0.00734524216339192,"HNRNPD/IGF2BP3/TAF15",3
"GO:0009895","GO:0009895","negative regulation of catabolic process","4/20","349/18870",0.000440757455047282,0.0282084771230261,0.0192283661675598,"HNRNPD/IGF2BP3/EP300/TAF15",4
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","4/20","362/18870",0.000506000074202927,0.0291456042740886,0.0198671608081781,"HNRNPD/IGF2BP3/CELF6/TAF15",4
"GO:0007519","GO:0007519","skeletal muscle tissue development","3/20","166/18870",0.000682735203075405,0.035750497906494,0.0243694000714953,"PAX5/PHOX2B/EP300",3
"GO:0001941","GO:0001941","postsynaptic membrane organization","2/20","39/18870",0.000772441088374746,0.036856758020132,0.0251234845422318,"LHFPL4/GPHN",2
"GO:0060538","GO:0060538","skeletal muscle organ development","3/20","178/18870",0.000835990859791332,0.036856758020132,0.0251234845422318,"PAX5/PHOX2B/EP300",3
"GO:0071542","GO:0071542","dopaminergic neuron differentiation","2/20","42/18870",0.000895823979655985,0.036856758020132,0.0251234845422318,"OTP/PHOX2B",2
"GO:0007623","GO:0007623","circadian rhythm","3/20","204/18870",0.00123921152011199,0.0475857223723004,0.0324369050527559,"HNRNPD/KDM2A/EP300",3
"GO:0007528","GO:0007528","neuromuscular junction development","2/20","52/18870",0.00137089764714514,0.049352315297225,0.0336411067358643,"CACNB3/GPHN",2
"GO:0050808","GO:0050808","synapse organization","4/20","483/18870",0.00148264749762881,0.0498637213913628,0.0339897077466709,"BDNF/CACNB3/LHFPL4/GPHN",4
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","4/20","496/18870",0.00163478252436867,0.0498637213913628,0.0339897077466709,"HNRNPD/IGF2BP3/SMUG1/TAF15",4
"GO:0043113","GO:0043113","receptor clustering","2/20","57/18870",0.00164481025422898,0.0498637213913628,0.0339897077466709,"LHFPL4/GPHN",2
