Sample,GEO_ID
X202897220093_R01C01,GSM6979529
X202897220093_R02C01,GSM6979530
X202897220093_R03C01,GSM6979531
X202897220093_R04C01,GSM6979532
X202897220093_R05C01,GSM6979533
X202897220093_R06C01,GSM6979534
X202897220093_R01C02,GSM6979535
X202897220093_R02C02,GSM6979536
X202897220093_R03C02,GSM6979537
X202897220093_R04C02,GSM6979538
X202897220093_R05C02,GSM6979539
X202897220093_R06C02,GSM6979540
X202897220098_R01C01,GSM6979541
X202897220098_R02C01,GSM6979542
X202897220098_R03C01,GSM6979543
X202897220098_R04C01,GSM6979544
X202897220098_R05C01,GSM6979545
X202897220098_R06C01,GSM6979546
X202897220098_R01C02,GSM6979547
X202897220098_R02C02,GSM6979548
X202897220098_R03C02,GSM6979549
X202897220098_R04C02,GSM6979550
X202897220098_R05C02,GSM6979551
X202897220098_R06C02,GSM6979552
X202897220045_R01C01,GSM6979553
X202897220045_R02C01,GSM6979554
X202897220045_R03C01,GSM6979555
X202897220045_R04C01,GSM6979556
X202897220045_R05C01,GSM6979557
X202897220045_R06C01,GSM6979558
X202897220045_R01C02,GSM6979559
X202897220045_R02C02,GSM6979560
X202897220045_R03C02,GSM6979561
X202897220045_R04C02,GSM6979562
X202897220045_R05C02,GSM6979563
X202897220045_R06C02,GSM6979564
X202897220135_R01C01,GSM6979565
X202897220135_R02C01,GSM6979566
X202897220135_R03C01,GSM6979567
X202897220135_R04C01,GSM6979568
X202897220135_R05C01,GSM6979569
X202897220135_R06C01,GSM6979570
X202897220135_R01C02,GSM6979571
X202897220135_R02C02,GSM6979572
X202897220135_R03C02,GSM6979573
X202897220135_R04C02,GSM6979574
X202897220135_R05C02,GSM6979575
X202897220135_R06C02,GSM6979576
X202897220020_R01C01,GSM6979577
X202897220020_R02C01,GSM6979578
X202897220020_R03C01,GSM6979579
X202897220020_R04C01,GSM6979580
X202897220020_R05C01,GSM6979581
X202897220020_R06C01,GSM6979582
X202897220020_R01C02,GSM6979583
X202897220020_R02C02,GSM6979584
X202897220020_R03C02,GSM6979585
X202897220020_R04C02,GSM6979586
X202897220020_R05C02,GSM6979587
X202897220020_R06C02,GSM6979588
X202894750029_R01C01,GSM6979589
X202894750029_R02C01,GSM6979590
X202894750029_R03C01,GSM6979591
X202894750029_R04C01,GSM6979592
X202894750029_R05C01,GSM6979593
X202894750029_R06C01,GSM6979594
X202894750029_R01C02,GSM6979595
X202894750029_R02C02,GSM6979596
X202894750029_R03C02,GSM6979597
X202894750029_R04C02,GSM6979598
X202894750029_R05C02,GSM6979599
X202894750029_R06C02,GSM6979600
X202897220003_R01C01,GSM6979601
X202897220003_R02C01,GSM6979602
X202897220003_R03C01,GSM6979603
X202897220003_R04C01,GSM6979604
X202897220003_R05C01,GSM6979605
X202897220003_R06C01,GSM6979606
X202897220003_R01C02,GSM6979607
X202897220003_R02C02,GSM6979608
X202897220003_R03C02,GSM6979609
X202897220003_R04C02,GSM6979610
X202897220003_R05C02,GSM6979611
X202897220003_R06C02,GSM6979612
X202897220146_R01C01,GSM6979613
X202897220146_R02C01,GSM6979614
X202897220146_R03C01,GSM6979615
X202897220146_R04C01,GSM6979616
X202897220146_R05C01,GSM6979617
X202897220146_R06C01,GSM6979618
X202897220146_R01C02,GSM6979619
X202897220146_R02C02,GSM6979620
X202897220146_R03C02,GSM6979621
X202897220146_R04C02,GSM6979622
X202897220146_R05C02,GSM6979623
X202897220146_R06C02,GSM6979624
X202897220107_R01C01,GSM6979625
X202897220107_R02C01,GSM6979626
X202897220107_R03C01,GSM6979627
X202897220107_R04C01,GSM6979628
X202897220107_R05C01,GSM6979629
X202897220107_R06C01,GSM6979630
X202897220107_R01C02,GSM6979631
X202897220107_R02C02,GSM6979632
X202897220107_R03C02,GSM6979633
X202897220107_R04C02,GSM6979634
X202897220107_R05C02,GSM6979635
X202897220107_R06C02,GSM6979636
X202894750026_R01C01,GSM6979637
X202894750026_R02C01,GSM6979638
X202894750026_R03C01,GSM6979639
X202894750026_R04C01,GSM6979640
X202894750026_R05C01,GSM6979641
X202894750026_R06C01,GSM6979642
X202894750026_R01C02,GSM6979643
X202894750026_R02C02,GSM6979644
X202894750026_R03C02,GSM6979645
X202894750026_R04C02,GSM6979646
X202894750026_R05C02,GSM6979647
X202894750026_R06C02,GSM6979648
X202897220082_R01C01,GSM6979649
X202897220082_R02C01,GSM6979650
X202897220082_R03C01,GSM6979651
X202897220082_R04C01,GSM6979652
X202897220082_R05C01,GSM6979653
X202897220082_R06C01,GSM6979654
X202897220082_R01C02,GSM6979655
X202897220082_R02C02,GSM6979656
X202897220082_R03C02,GSM6979657
X202897220082_R04C02,GSM6979658
X202897220082_R05C02,GSM6979659
X202897220082_R06C02,GSM6979660
X202897220142_R01C01,GSM6979661
X202897220142_R02C01,GSM6979662
X202897220142_R03C01,GSM6979663
X202897220142_R04C01,GSM6979664
X202897220142_R05C01,GSM6979665
X202897220142_R06C01,GSM6979666
X202897220142_R01C02,GSM6979667
X202897220142_R02C02,GSM6979668
X202897220142_R03C02,GSM6979669
X202897220142_R04C02,GSM6979670
X202897220142_R05C02,GSM6979671
X202897220142_R06C02,GSM6979672
X202897220085_R01C01,GSM6979673
X202897220085_R02C01,GSM6979674
X202897220085_R03C01,GSM6979675
X202897220085_R04C01,GSM6979676
X202897220085_R05C01,GSM6979677
X202897220085_R01C02,GSM6979678
X202897220085_R02C02,GSM6979679
X202897220085_R03C02,GSM6979680
X202897220085_R04C02,GSM6979681
X202897220085_R05C02,GSM6979682
X202897220085_R06C02,GSM6979683
X202897220057_R01C01,GSM6979684
X202897220057_R02C01,GSM6979685
X202897220057_R03C01,GSM6979686
X202897220057_R04C01,GSM6979687
X202897220057_R06C01,GSM6979688
X202897220057_R02C02,GSM6979689
X202897220057_R03C02,GSM6979690
X202897220057_R04C02,GSM6979691
X202897220057_R05C02,GSM6979692
X202897220050_R01C01,GSM6979693
X202897220050_R02C01,GSM6979694
X202897220050_R03C01,GSM6979695
X202897220050_R04C01,GSM6979696
X202897220050_R05C01,GSM6979697
X202897220050_R06C01,GSM6979698
X202897220050_R01C02,GSM6979699
X202897220050_R02C02,GSM6979700
X202897220050_R03C02,GSM6979701
X202897220050_R04C02,GSM6979702
X202897220050_R05C02,GSM6979703
X202897220055_R02C01,GSM6979704
X202897220055_R03C01,GSM6979705
X202897220055_R04C01,GSM6979706
X202897220055_R05C01,GSM6979707
X202897220055_R06C01,GSM6979708
X202897220055_R01C02,GSM6979709
X202897220055_R02C02,GSM6979710
X202897220055_R03C02,GSM6979711
X202897220055_R04C02,GSM6979712
X202897220055_R05C02,GSM6979713
X202897220055_R06C02,GSM6979714
X202897220032_R01C01,GSM6979715
X202897220032_R02C01,GSM6979716
X202897220032_R03C01,GSM6979717
X202897220032_R04C01,GSM6979718
X202897220032_R05C01,GSM6979719
X202897220032_R06C01,GSM6979720
X202897220032_R01C02,GSM6979721
X202897220032_R02C02,GSM6979722
X202897220032_R03C02,GSM6979723
X202897220032_R04C02,GSM6979724
X202897220032_R05C02,GSM6979725
X202897220030_R01C01,GSM6979726
X202897220030_R02C01,GSM6979727
X202897220030_R03C01,GSM6979728
X202897220030_R04C01,GSM6979729
X202897220030_R05C01,GSM6979730
X202897220030_R06C01,GSM6979731
X202897220030_R01C02,GSM6979732
X202897220030_R02C02,GSM6979733
X202897220030_R03C02,GSM6979734
X202897220030_R04C02,GSM6979735
X202897220030_R05C02,GSM6979736
X202897220030_R06C02,GSM6979737
X202897220031_R01C01,GSM6979738
X202897220031_R02C01,GSM6979739
X202897220031_R03C01,GSM6979740
X202897220031_R04C01,GSM6979741
X202897220031_R05C01,GSM6979742
X202897220031_R06C01,GSM6979743
X202897220031_R01C02,GSM6979744
X202897220031_R02C02,GSM6979745
X202897220031_R03C02,GSM6979746
X202897220031_R04C02,GSM6979747
X202897220031_R05C02,GSM6979748
X202897220031_R06C02,GSM6979749
X202897220029_R01C01,GSM6979750
X202897220029_R02C01,GSM6979751
X202897220029_R03C01,GSM6979752
X202897220029_R04C01,GSM6979753
X202897220029_R05C01,GSM6979754
X202897220029_R06C01,GSM6979755
X202897220029_R01C02,GSM6979756
X202897220029_R02C02,GSM6979757
X202897220029_R03C02,GSM6979758
X202897220029_R04C02,GSM6979759
X202897220029_R05C02,GSM6979760
X202897220029_R06C02,GSM6979761
X202897220016_R01C01,GSM6979762
X202897220016_R02C01,GSM6979763
X202897220016_R03C01,GSM6979764
X202897220016_R04C01,GSM6979765
X202897220016_R05C01,GSM6979766
X202897220016_R06C01,GSM6979767
X202897220016_R02C02,GSM6979768
X202897220016_R03C02,GSM6979769
X202897220016_R04C02,GSM6979770
X202897220016_R05C02,GSM6979771
X202897220016_R06C02,GSM6979772
X202894750024_R01C01,GSM6979773
X202894750024_R02C01,GSM6979774
X202894750024_R03C01,GSM6979775
X202894750024_R04C01,GSM6979776
X202894750024_R05C01,GSM6979777
