SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Olive baboon,Papio hamadryas,Cortex,Female,22.12,X202794570001_R01C01,GSM6981727
Olive baboon,Papio hamadryas,Cortex,Male,8.04,X202794570001_R01C02,GSM6981733
Olive baboon,Papio hamadryas,Cortex,Female,18.95,X202794570001_R02C01,GSM6981728
Olive baboon,Papio hamadryas,Cortex,Male,18.64,X202794570001_R02C02,GSM6981734
Olive baboon,Papio hamadryas,Cortex,Female,18.61,X202794570001_R03C01,GSM6981729
Olive baboon,Papio hamadryas,Cortex,Male,8.8,X202794570001_R03C02,GSM6981735
Olive baboon,Papio hamadryas,Cortex,Female,17.85,X202794570001_R04C01,GSM6981730
Olive baboon,Papio hamadryas,Cortex,Male,22.68,X202794570001_R04C02,GSM6981736
Olive baboon,Papio hamadryas,Cortex,Female,18.26,X202794570001_R05C01,GSM6981731
Olive baboon,Papio hamadryas,Cortex,Male,18.64,X202794570001_R05C02,GSM6981737
Olive baboon,Papio hamadryas,Cortex,Male,22.84,X202794570001_R06C01,GSM6981732
Olive baboon,Papio hamadryas,Cortex,Male,16.68,X202794570001_R06C02,GSM6981738
Mouse,Mus musculus,Liver,Female,1.964480874,X202794570002_R01C01,GSM6981441
Mouse,Mus musculus,Blood,Female,1.37431694,X202794570002_R01C02,GSM6981447
Mouse,Mus musculus,Liver,Female,1.144808743,X202794570002_R02C01,GSM6981442
Mouse,Mus musculus,Liver,Female,2.778688525,X202794570002_R03C01,GSM6981443
Mouse,Mus musculus,Blood,Female,1.784153006,X202794570002_R03C02,GSM6981448
Mouse,Mus musculus,Liver,Male,1.103825137,X202794570002_R04C01,GSM6981444
Mouse,Mus musculus,Blood,Female,1.37431694,X202794570002_R04C02,GSM6981449
Mouse,Mus musculus,Liver,Female,1.010928962,X202794570002_R05C01,GSM6981445
Mouse,Mus musculus,Blood,Female,,X202794570002_R05C02,GSM6981450
Mouse,Mus musculus,Blood,Female,1.396174863,X202794570002_R06C01,GSM6981446
Mouse,Mus musculus,Blood,Female,1.415300546,X202794570002_R06C02,GSM6981451
Mouse,Mus musculus,Liver,Female,1.478142077,X202794570004_R01C01,GSM6981462
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R01C02,GSM6981468
Mouse,Mus musculus,Liver,Female,1.527322404,X202794570004_R02C01,GSM6981463
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R02C02,GSM6981469
Mouse,Mus musculus,Liver,Female,,X202794570004_R03C01,GSM6981464
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R04C01,GSM6981465
Mouse,Mus musculus,Liver,Female,0.950819672,X202794570004_R04C02,GSM6981470
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R05C01,GSM6981466
Mouse,Mus musculus,Liver,Female,0.986338798,X202794570004_R05C02,GSM6981471
Mouse,Mus musculus,Liver,Female,0.975409836,X202794570004_R06C01,GSM6981467
Olive baboon,Papio hamadryas,Cortex,Female,19.81,X202794570005_R01C01,GSM6981703
Olive baboon,Papio hamadryas,Cortex,Female,18.42,X202794570005_R01C02,GSM6981709
Olive baboon,Papio hamadryas,Cortex,Female,18.48,X202794570005_R02C01,GSM6981704
Olive baboon,Papio hamadryas,Cortex,Female,20.83,X202794570005_R02C02,GSM6981710
Olive baboon,Papio hamadryas,Cortex,Female,13.16,X202794570005_R03C01,GSM6981705
Olive baboon,Papio hamadryas,Cortex,Female,11.95,X202794570005_R03C02,GSM6981711
Olive baboon,Papio hamadryas,Cortex,Female,13.8,X202794570005_R04C01,GSM6981706
Olive baboon,Papio hamadryas,Cortex,Female,12.86,X202794570005_R04C02,GSM6981712
Olive baboon,Papio hamadryas,Cortex,Female,13.61,X202794570005_R05C01,GSM6981707
Olive baboon,Papio hamadryas,Cortex,Female,12.02,X202794570005_R05C02,GSM6981713
Olive baboon,Papio hamadryas,Cortex,Female,15.68,X202794570005_R06C01,GSM6981708
Olive baboon,Papio hamadryas,Cortex,Female,14.77,X202794570005_R06C02,GSM6981714
Olive baboon,Papio hamadryas,Liver,Male,18.0,X202794570007_R01C01,GSM6981691
Olive baboon,Papio hamadryas,Liver,Female,8.65,X202794570007_R01C02,GSM6981697
Olive baboon,Papio hamadryas,Liver,Male,16.82,X202794570007_R02C01,GSM6981692
Olive baboon,Papio hamadryas,Liver,Female,17.99,X202794570007_R02C02,GSM6981698
Olive baboon,Papio hamadryas,Liver,Male,18.36,X202794570007_R03C01,GSM6981693
Olive baboon,Papio hamadryas,Liver,Female,7.49,X202794570007_R03C02,GSM6981699
Olive baboon,Papio hamadryas,Liver,Female,10.18,X202794570007_R04C01,GSM6981694
Olive baboon,Papio hamadryas,Liver,Female,6.45,X202794570007_R04C02,GSM6981700
Olive baboon,Papio hamadryas,Liver,Female,9.42,X202794570007_R05C01,GSM6981695
Olive baboon,Papio hamadryas,Liver,Female,6.11,X202794570007_R05C02,GSM6981701
Olive baboon,Papio hamadryas,Liver,Female,12.17,X202794570007_R06C01,GSM6981696
Olive baboon,Papio hamadryas,Liver,Female,5.98,X202794570007_R06C02,GSM6981702
Olive baboon,Papio hamadryas,Liver,Female,8.72,X202794570009_R01C01,GSM6981667
Olive baboon,Papio hamadryas,Liver,Female,13.73,X202794570009_R01C02,GSM6981673
Olive baboon,Papio hamadryas,Liver,Female,10.36,X202794570009_R02C01,GSM6981668
Olive baboon,Papio hamadryas,Liver,Female,10.99,X202794570009_R02C02,GSM6981674
Olive baboon,Papio hamadryas,Liver,Female,8.88,X202794570009_R03C01,GSM6981669
Olive baboon,Papio hamadryas,Liver,Female,11.1,X202794570009_R03C02,GSM6981675
Olive baboon,Papio hamadryas,Liver,Female,19.21,X202794570009_R04C01,GSM6981670
Olive baboon,Papio hamadryas,Liver,Female,10.93,X202794570009_R04C02,GSM6981676
Olive baboon,Papio hamadryas,Liver,Female,15.12,X202794570009_R05C01,GSM6981671
Olive baboon,Papio hamadryas,Liver,Female,20.91,X202794570009_R05C02,GSM6981677
Olive baboon,Papio hamadryas,Liver,Female,21.29,X202794570009_R06C01,GSM6981672
Olive baboon,Papio hamadryas,Liver,Female,18.63,X202794570009_R06C02,GSM6981678
Deer mouse,Peromyscus maniculatus,Skin,Male,,X202794570010_R01C01,GSM6982775
Meadow vole,Microtus pennsylvanicus,Skin,,,X202794570010_R01C02,GSM6982781
Bush tail rat,Neotoma cinerea,Skin,Female,,X202794570010_R02C01,GSM6982776
Rat,Rattus norvegicus,Skin,Female,,X202794570010_R02C02,GSM6982782
Black rat,Rattus rattus,Skin,,,X202794570010_R03C01,GSM6982777
Mouse,Mus musculus,Skin,Female,,X202794570010_R03C02,GSM6982783
Naked mole rat,Heterocephalus glaber,Skin,Male,3.0,X202794570010_R04C01,GSM6982778
Naked mole rat,Heterocephalus glaber,Skin,Male,7.0,X202794570010_R04C02,GSM6982784
Eastern chipmunk,Tamias striatus,Skin,Female,,X202794570010_R05C01,GSM6982779
Porqupine,Erethizon dorsatus,Skin,,,X202794570010_R05C02,GSM6982785
Naked mole rat,Heterocephalus glaber,Skin,Male,0.8,X202794570010_R06C01,GSM6982780
Olive baboon,Papio hamadryas,Cortex,Male,18.0,X202794570011_R01C01,GSM6981739
Olive baboon,Papio hamadryas,Cortex,Female,17.99,X202794570011_R01C02,GSM6981745
Olive baboon,Papio hamadryas,Cortex,Male,16.82,X202794570011_R02C01,GSM6981740
Olive baboon,Papio hamadryas,Cortex,Female,7.49,X202794570011_R02C02,GSM6981746
Olive baboon,Papio hamadryas,Cortex,Male,18.36,X202794570011_R03C01,GSM6981741
Olive baboon,Papio hamadryas,Liver,Female,13.8,X202794570011_R03C02,GSM6981747
Olive baboon,Papio hamadryas,Cortex,Female,10.18,X202794570011_R04C01,GSM6981742
Olive baboon,Papio hamadryas,Liver,Female,9.42,X202794570011_R04C02,GSM6981748
Olive baboon,Papio hamadryas,Cortex,Female,9.42,X202794570011_R05C01,GSM6981743
Olive baboon,Papio hamadryas,Cortex,Female,13.16,X202794570011_R05C02,GSM6981749
Olive baboon,Papio hamadryas,Cortex,Female,8.65,X202794570011_R06C01,GSM6981744
Olive baboon,Papio hamadryas,Cortex,Male,8.8,X202794570011_R06C02,GSM6981750
Mouse,Mus musculus,Skin,,2.0,X202794570012_R01C02,GSM6982791
Guinea pig,Cavia porcellus,Skin,,,X202794570012_R02C01,GSM6982786
Beaver,Castor canadensis,Skin,Male,,X202794570012_R02C02,GSM6982792
Beaver,Castor canadensis,Skin,,,X202794570012_R03C01,GSM6982787
Brown rat,Rattus norvegicus domestica,Skin,Male,,X202794570012_R03C02,GSM6982793
Beaver,Castor canadensis,Skin,,,X202794570012_R04C01,GSM6982788
Capybara,Hydrochoerus hydrochaeris,Skin,Male,,X202794570012_R04C02,GSM6982794
Groundhog,Marmota monax,Skin,Female,,X202794570012_R05C01,GSM6982789
Gerbil,Meriones unguiculatus,Skin,,,X202794570012_R06C01,GSM6982790
Mouse,Mus musculus,Liver,Female,0.964480874,X202794570013_R01C01,GSM6981429
Mouse,Mus musculus,Liver,Female,1.579234973,X202794570013_R01C02,GSM6981435
Mouse,Mus musculus,Liver,Female,0.961748634,X202794570013_R02C01,GSM6981430
Mouse,Mus musculus,Liver,Female,1.579234973,X202794570013_R02C02,GSM6981436
Mouse,Mus musculus,Liver,Female,1.510928962,X202794570013_R03C01,GSM6981431
Mouse,Mus musculus,Liver,Female,0.989071038,X202794570013_R03C02,GSM6981437
Mouse,Mus musculus,Liver,Female,,X202794570013_R04C01,GSM6981432
Mouse,Mus musculus,Liver,Female,1.483606557,X202794570013_R04C02,GSM6981438
