SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Olive baboon,Papio hamadryas,Cortex,1,22.12,X202794570001_R01C01
Olive baboon,Papio hamadryas,Cortex,0,8.04,X202794570001_R01C02
Olive baboon,Papio hamadryas,Cortex,1,18.95,X202794570001_R02C01
Olive baboon,Papio hamadryas,Cortex,0,18.64,X202794570001_R02C02
Olive baboon,Papio hamadryas,Cortex,1,18.61,X202794570001_R03C01
Olive baboon,Papio hamadryas,Cortex,0,8.8,X202794570001_R03C02
Olive baboon,Papio hamadryas,Cortex,1,17.85,X202794570001_R04C01
Olive baboon,Papio hamadryas,Cortex,0,22.68,X202794570001_R04C02
Olive baboon,Papio hamadryas,Cortex,1,18.26,X202794570001_R05C01
Olive baboon,Papio hamadryas,Cortex,0,18.64,X202794570001_R05C02
Olive baboon,Papio hamadryas,Cortex,0,22.84,X202794570001_R06C01
Olive baboon,Papio hamadryas,Cortex,0,16.68,X202794570001_R06C02
Mouse,Mus musculus,Liver,1,1.964480874,X202794570002_R01C01
Mouse,Mus musculus,Blood,1,1.37431694,X202794570002_R01C02
Mouse,Mus musculus,Liver,1,1.144808743,X202794570002_R02C01
Mouse,Mus musculus,Liver,1,2.778688525,X202794570002_R03C01
Mouse,Mus musculus,Blood,1,1.784153006,X202794570002_R03C02
Mouse,Mus musculus,Liver,0,1.103825137,X202794570002_R04C01
Mouse,Mus musculus,Blood,1,1.37431694,X202794570002_R04C02
Mouse,Mus musculus,Liver,1,1.010928962,X202794570002_R05C01
Mouse,Mus musculus,Blood,1,,X202794570002_R05C02
Mouse,Mus musculus,Blood,1,1.396174863,X202794570002_R06C01
Mouse,Mus musculus,Blood,1,1.415300546,X202794570002_R06C02
Mouse,Mus musculus,Liver,1,1.478142077,X202794570004_R01C01
Mouse,Mus musculus,Liver,1,0.975409836,X202794570004_R01C02
Mouse,Mus musculus,Liver,1,1.527322404,X202794570004_R02C01
Mouse,Mus musculus,Liver,1,0.975409836,X202794570004_R02C02
Mouse,Mus musculus,Liver,1,,X202794570004_R03C01
Mouse,Mus musculus,Liver,1,0.975409836,X202794570004_R04C01
Mouse,Mus musculus,Liver,1,0.950819672,X202794570004_R04C02
Mouse,Mus musculus,Liver,1,0.975409836,X202794570004_R05C01
Mouse,Mus musculus,Liver,1,0.986338798,X202794570004_R05C02
Mouse,Mus musculus,Liver,1,0.975409836,X202794570004_R06C01
Olive baboon,Papio hamadryas,Cortex,1,19.81,X202794570005_R01C01
Olive baboon,Papio hamadryas,Cortex,1,18.42,X202794570005_R01C02
Olive baboon,Papio hamadryas,Cortex,1,18.48,X202794570005_R02C01
Olive baboon,Papio hamadryas,Cortex,1,20.83,X202794570005_R02C02
Olive baboon,Papio hamadryas,Cortex,1,13.16,X202794570005_R03C01
Olive baboon,Papio hamadryas,Cortex,1,11.95,X202794570005_R03C02
Olive baboon,Papio hamadryas,Cortex,1,13.8,X202794570005_R04C01
Olive baboon,Papio hamadryas,Cortex,1,12.86,X202794570005_R04C02
Olive baboon,Papio hamadryas,Cortex,1,13.61,X202794570005_R05C01
Olive baboon,Papio hamadryas,Cortex,1,12.02,X202794570005_R05C02
Olive baboon,Papio hamadryas,Cortex,1,15.68,X202794570005_R06C01
Olive baboon,Papio hamadryas,Cortex,1,14.77,X202794570005_R06C02
Olive baboon,Papio hamadryas,Liver,0,18,X202794570007_R01C01
Olive baboon,Papio hamadryas,Liver,1,8.65,X202794570007_R01C02
Olive baboon,Papio hamadryas,Liver,0,16.82,X202794570007_R02C01
Olive baboon,Papio hamadryas,Liver,1,17.99,X202794570007_R02C02
Olive baboon,Papio hamadryas,Liver,0,18.36,X202794570007_R03C01
Olive baboon,Papio hamadryas,Liver,1,7.49,X202794570007_R03C02
Olive baboon,Papio hamadryas,Liver,1,10.18,X202794570007_R04C01
Olive baboon,Papio hamadryas,Liver,1,6.45,X202794570007_R04C02
Olive baboon,Papio hamadryas,Liver,1,9.42,X202794570007_R05C01
Olive baboon,Papio hamadryas,Liver,1,6.11,X202794570007_R05C02
Olive baboon,Papio hamadryas,Liver,1,12.17,X202794570007_R06C01
Olive baboon,Papio hamadryas,Liver,1,5.98,X202794570007_R06C02
Olive baboon,Papio hamadryas,Liver,1,8.72,X202794570009_R01C01
Olive baboon,Papio hamadryas,Liver,1,13.73,X202794570009_R01C02
Olive baboon,Papio hamadryas,Liver,1,10.36,X202794570009_R02C01
Olive baboon,Papio hamadryas,Liver,1,10.99,X202794570009_R02C02
Olive baboon,Papio hamadryas,Liver,1,8.88,X202794570009_R03C01
Olive baboon,Papio hamadryas,Liver,1,11.1,X202794570009_R03C02
Olive baboon,Papio hamadryas,Liver,1,19.21,X202794570009_R04C01
Olive baboon,Papio hamadryas,Liver,1,10.93,X202794570009_R04C02
Olive baboon,Papio hamadryas,Liver,1,15.12,X202794570009_R05C01
Olive baboon,Papio hamadryas,Liver,1,20.91,X202794570009_R05C02
Olive baboon,Papio hamadryas,Liver,1,21.29,X202794570009_R06C01
Olive baboon,Papio hamadryas,Liver,1,18.63,X202794570009_R06C02
Deer mouse,Peromyscus maniculatus,Skin,0,,X202794570010_R01C01
Meadow vole,Microtus pennsylvanicus,Skin,,,X202794570010_R01C02
Bush tail rat,Neotoma cinerea,Skin,1,,X202794570010_R02C01
Rat,Rattus norvegicus,Skin,1,,X202794570010_R02C02
Black rat,Rattus rattus,Skin,,,X202794570010_R03C01
Mouse,Mus musculus,Skin,1,,X202794570010_R03C02
Naked mole rat,Heterocephalus glaber,Skin,0,3,X202794570010_R04C01
Naked mole rat,Heterocephalus glaber,Skin,0,7,X202794570010_R04C02
Eastern chipmunk,Tamias striatus,Skin,1,,X202794570010_R05C01
Porqupine,Erethizon dorsatus,Skin,,,X202794570010_R05C02
Naked mole rat,Heterocephalus glaber,Skin,0,0.8,X202794570010_R06C01
Olive baboon,Papio hamadryas,Cortex,0,18,X202794570011_R01C01
Olive baboon,Papio hamadryas,Cortex,1,17.99,X202794570011_R01C02
Olive baboon,Papio hamadryas,Cortex,0,16.82,X202794570011_R02C01
Olive baboon,Papio hamadryas,Cortex,1,7.49,X202794570011_R02C02
Olive baboon,Papio hamadryas,Cortex,0,18.36,X202794570011_R03C01
Olive baboon,Papio hamadryas,Liver,1,13.8,X202794570011_R03C02
Olive baboon,Papio hamadryas,Cortex,1,10.18,X202794570011_R04C01
Olive baboon,Papio hamadryas,Liver,1,9.42,X202794570011_R04C02
Olive baboon,Papio hamadryas,Cortex,1,9.42,X202794570011_R05C01
Olive baboon,Papio hamadryas,Cortex,1,13.16,X202794570011_R05C02
Olive baboon,Papio hamadryas,Cortex,1,8.65,X202794570011_R06C01
Olive baboon,Papio hamadryas,Cortex,0,8.8,X202794570011_R06C02
Mouse,Mus musculus,Skin,,2,X202794570012_R01C02
Guinea pig,Cavia porcellus,Skin,,,X202794570012_R02C01
Beaver,Castor canadensis,Skin,0,,X202794570012_R02C02
Beaver,Castor canadensis,Skin,,,X202794570012_R03C01
Brown rat,Rattus norvegicus domestica,Skin,0,,X202794570012_R03C02
Beaver,Castor canadensis,Skin,,,X202794570012_R04C01
Capybara,Hydrochoerus hydrochaeris,Skin,0,,X202794570012_R04C02
Groundhog,Marmota monax,Skin,1,,X202794570012_R05C01
Gerbil,Meriones unguiculatus,Skin,,,X202794570012_R06C01
Mouse,Mus musculus,Liver,1,0.964480874,X202794570013_R01C01
Mouse,Mus musculus,Liver,1,1.579234973,X202794570013_R01C02
Mouse,Mus musculus,Liver,1,0.961748634,X202794570013_R02C01
Mouse,Mus musculus,Liver,1,1.579234973,X202794570013_R02C02
Mouse,Mus musculus,Liver,1,1.510928962,X202794570013_R03C01
Mouse,Mus musculus,Liver,1,0.989071038,X202794570013_R03C02
Mouse,Mus musculus,Liver,1,,X202794570013_R04C01
Mouse,Mus musculus,Liver,1,1.483606557,X202794570013_R04C02
Mouse,Mus musculus,Liver,1,1.521857924,X202794570013_R05C01
Mouse,Mus musculus,Liver,1,1.975409836,X202794570013_R05C02
Mouse,Mus musculus,Liver,1,1.510928962,X202794570013_R06C01
Mouse,Mus musculus,Liver,0,1.103825137,X202794570013_R06C02
Olive baboon,Papio hamadryas,Liver,1,22.12,X202794570015_R01C01
Olive baboon,Papio hamadryas,Liver,0,8.04,X202794570015_R01C02
Olive baboon,Papio hamadryas,Liver,1,18.95,X202794570015_R02C01
Olive baboon,Papio hamadryas,Liver,0,18.64,X202794570015_R02C02
Olive baboon,Papio hamadryas,Liver,1,18.61,X202794570015_R03C01
Olive baboon,Papio hamadryas,Liver,0,8.8,X202794570015_R03C02
Olive baboon,Papio hamadryas,Liver,1,17.85,X202794570015_R04C01
Olive baboon,Papio hamadryas,Liver,0,22.68,X202794570015_R04C02
Olive baboon,Papio hamadryas,Liver,1,18.26,X202794570015_R05C01
Olive baboon,Papio hamadryas,Liver,0,18.64,X202794570015_R05C02
Olive baboon,Papio hamadryas,Liver,0,22.84,X202794570015_R06C01
Olive baboon,Papio hamadryas,Liver,0,16.68,X202794570015_R06C02
Olive baboon,Papio hamadryas,Liver,1,19.81,X202794570016_R01C01
Olive baboon,Papio hamadryas,Liver,1,18.42,X202794570016_R01C02
Olive baboon,Papio hamadryas,Liver,1,18.48,X202794570016_R02C01
Olive baboon,Papio hamadryas,Liver,1,20.83,X202794570016_R02C02
Olive baboon,Papio hamadryas,Liver,1,13.16,X202794570016_R03C01
Olive baboon,Papio hamadryas,Liver,1,11.95,X202794570016_R03C02
Olive baboon,Papio hamadryas,Liver,1,13.8,X202794570016_R04C01
Olive baboon,Papio hamadryas,Liver,1,12.86,X202794570016_R04C02
Olive baboon,Papio hamadryas,Liver,1,13.61,X202794570016_R05C01
Olive baboon,Papio hamadryas,Liver,1,12.02,X202794570016_R05C02
Olive baboon,Papio hamadryas,Liver,1,15.68,X202794570016_R06C01
Olive baboon,Papio hamadryas,Liver,1,14.77,X202794570016_R06C02
Mouse,Mus musculus,Liver,1,0.590163934,X202794570018_R01C01
Mouse,Mus musculus,Liver,1,0.964480874,X202794570018_R01C02
Mouse,Mus musculus,Liver,1,1.00273224,X202794570018_R02C01
Mouse,Mus musculus,Liver,1,1.494535519,X202794570018_R02C02
Mouse,Mus musculus,Liver,1,0.510928962,X202794570018_R03C01
Mouse,Mus musculus,Liver,0,1.084699454,X202794570018_R03C02
Mouse,Mus musculus,Liver,1,1.494535519,X202794570018_R04C01
Mouse,Mus musculus,Liver,1,2.068306011,X202794570018_R04C02
Mouse,Mus musculus,Liver,1,1.396174863,X202794570018_R05C01
Mouse,Mus musculus,Liver,1,2.021857924,X202794570018_R05C02
Mouse,Mus musculus,Liver,1,2.032786885,X202794570018_R06C01
Mouse,Mus musculus,Liver,1,0.573770492,X202794570018_R06C02
Olive baboon,Papio hamadryas,Cortex,1,8.72,X202794570019_R01C01
Olive baboon,Papio hamadryas,Cortex,1,13.73,X202794570019_R01C02
Olive baboon,Papio hamadryas,Cortex,1,10.36,X202794570019_R02C01
Olive baboon,Papio hamadryas,Cortex,1,10.99,X202794570019_R02C02
Olive baboon,Papio hamadryas,Cortex,1,8.88,X202794570019_R03C01
Olive baboon,Papio hamadryas,Cortex,1,11.1,X202794570019_R03C02
Olive baboon,Papio hamadryas,Cortex,1,19.21,X202794570019_R04C01
Olive baboon,Papio hamadryas,Cortex,1,10.93,X202794570019_R04C02
Olive baboon,Papio hamadryas,Cortex,1,15.12,X202794570019_R05C01
Olive baboon,Papio hamadryas,Cortex,1,20.91,X202794570019_R05C02
Olive baboon,Papio hamadryas,Cortex,1,21.29,X202794570019_R06C01
Olive baboon,Papio hamadryas,Cortex,1,18.63,X202794570019_R06C02
Mouse,Mus musculus,Blood,1,1.527322404,X202794570020_R01C01
Mouse,Mus musculus,Blood,1,0.975409836,X202794570020_R01C02
Mouse,Mus musculus,Blood,1,1.770491803,X202794570020_R02C01
Mouse,Mus musculus,Blood,1,0.975409836,X202794570020_R02C02
Mouse,Mus musculus,Blood,1,1.527322404,X202794570020_R03C01
