index,var,beta_clock3,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
493,cg26512254,2.63829942189619,7,27200144,HOTTIP,HOXA13,100316868,mapped to different gene in human and mouse,HOTTIP_Intron,"Intron (ENST00000421733.1/100316868, intron 1 of 1)",6,52260841.0,Hoxa13
99,cg09710440,1.85468948953014,7,104328932,LHFPL3,LHFPL3,375612,"mapped in human, not mapped in mouse",LHFPL3_Exon,Promoter (<=1kb),,,
34,cg18418719,1.80602757799643,3,70972083,FOXP1,FOXP1,27086,mapped to different gene in human and mouse,FOXP1_threeUTR,3' UTR,6,98941067.0,Foxp1
134,cg24352905,1.73821818023407,5,77645452,OTP,OTP,23440,conserved gene and region in mouse and human,OTP_Promoter,Promoter (5-6kb),13,94869014.0,Otp
576,cg05474883,1.46349524712607,4,82354926,HNRNPD,HNRNPD,3184,conserved gene and region in mouse and human,HNRNPD_threeUTR,3' UTR,5,99962129.0,Hnrnpd
757,cg06493080,1.45114007571917,17,48610948,HOXB7,HOXB7,3217,conserved gene and region in mouse and human,HOXB7_fiveUTR,Promoter (<=1kb),11,96286697.0,Hoxb7
118,cg09227056,1.43699539133007,2,176075721,EVX2,EVX2,344191,conserved gene and region in mouse and human,EVX2_Intergenic_downstream,Distal Intergenic,2,74651253.0,Evx2
24,cg19927064,1.41247685864403,12,48818919,CACNB3,CACNB3,784,conserved gene and region in mouse and human,CACNB3_fiveUTR,5' UTR,15,98635158.0,Cacnb3
121,cg19711579,1.13328861668229,2,181680835,NEUROD1,NEUROD1,4760,mapped to different gene in human and mouse,NEUROD1_fiveUTR,Promoter (<=1kb),2,79456940.0,Cerkl
152,cg20766695,1.06311208600246,9,37026581,PAX5,PAX5,5079,conserved gene but different region in human and mouse,PAX5_Intron,"Intron (ENST00000358127.9/5079, intron 1 of 9)",4,44703419.0,Pax5
123,cg12841266,0.999456680946853,3,9552409,LHFPL4,LHFPL4,375323,conserved gene and region in mouse and human,LHFPL4_Exon,"Exon (ENST00000287585.8/375323, exon 2 of 4)",6,113193953.0,Lhfpl4
