"","x"
"cg00000165",1
"cg00001209",2
"cg00001364",3
"cg00001582",4
"cg00002920",5
"cg00003994",6
"cg00004555",7
"cg00005112",8
"cg00005271",9
"cg00006213",10
"cg00008998",11
"cg00009248",12
"cg00009319",13
"cg00010445",14
"cg00010903",15
"cg00010926",16
"cg00010977",17
"cg00012521",18
"cg00012879",19
"cg00013189",20
"cg00013247",21
"cg00014011",22
"cg00015001",23
"cg00015319",24
"cg00016215",25
"cg00017571",26
"cg00017737",27
"cg00017842",28
"cg00019068",29
"cg00020468",30
"cg00021588",31
"cg00022035",32
"cg00023292",33
"cg00024300",34
"cg00027030",35
"cg00027863",36
"cg00027948",37
"cg00029553",38
"cg00029755",39
"cg00031262",40
"cg00031896",41
"cg00032045",42
"cg00032807",43
"cg00032872",44
"cg00035308",45
"cg00036621",46
"cg00036705",47
"cg00036709",48
"cg00036788",49
"cg00037013",50
"cg00037518",51
"cg00037619",52
"cg00037952",53
"cg00038038",54
"cg00038306",55
"cg00038376",56
"cg00038849",57
"cg00038872",58
"cg00038955",59
"cg00039469",60
"cg00039845",61
"cg00042664",62
"cg00044472",63
"cg00045146",64
"cg00045149",65
"cg00046033",66
"cg00046073",67
"cg00046146",68
"cg00046614",69
"cg00046850",70
"cg00049527",71
"cg00049667",72
"cg00049718",73
"cg00050268",74
"cg00051709",75
"cg00051782",76
"cg00054169",77
"cg00054831",78
"cg00055211",79
"cg00055619",80
"cg00056413",81
"cg00056578",82
"cg00056596",83
"cg00057767",84
"cg00058449",85
"cg00059117",86
"cg00059486",87
"cg00059897",88
"cg00060304",89
"cg00060633",90
"cg00060978",91
"cg00061093",92
"cg00061684",93
"cg00065957",94
"cg00065997",95
"cg00066554",96
"cg00067370",97
"cg00067520",98
"cg00067701",99
"cg00067884",100
"cg00068326",101
"cg00068760",102
"cg00069876",103
"cg00071267",104
"cg00071297",105
"cg00072253",106
"cg00072466",107
"cg00072485",108
"cg00073460",109
"cg00073543",110
"cg00075117",111
"cg00075753",112
"cg00075967",113
"cg00077617",114
"cg00077667",115
"cg00078463",116
"cg00079056",117
"cg00079224",118
"cg00080164",119
"cg00080475",120
"cg00082691",121
"cg00083068",122
"cg00083847",123
"cg00083937",124
"cg00084503",125
"cg00084577",126
"cg00087116",127
"cg00087778",128
"cg00090184",129
"cg00090384",130
"cg00090461",131
"cg00091093",132
"cg00091349",133
"cg00091693",134
"cg00091964",135
"cg00092013",136
"cg00092621",137
"cg00092936",138
"cg00095474",139
"cg00096766",140
"cg00096813",141
"cg00096922",142
"cg00098422",143
"cg00100281",144
"cg00101175",145
"cg00101279",146
"cg00101491",147
"cg00101675",148
"cg00102584",149
"cg00103299",150
"cg00103439",151
"cg00103598",152
"cg00103762",153
"cg00104779",154
"cg00106630",155
"cg00106809",156
"cg00106940",157
"cg00107682",158
"cg00109076",159
"cg00109300",160
"cg00109303",161
"cg00109643",162
"cg00109797",163
"cg00110098",164
"cg00110825",165
"cg00111333",166
"cg00112642",167
"cg00113096",168
"cg00113533",169
"cg00113951",170
"cg00114412",171
"cg00114602",172
"cg00115173",173
"cg00115203",174
"cg00115348",175
"cg00116110",176
"cg00116234",177
"cg00116289",178
"cg00116653",179
"cg00117744",180
"cg00117839",181
"cg00117955",182
"cg00119476",183
"cg00120227",184
"cg00122272",185
"cg00122769",186
"cg00122911",187
"cg00124810",188
"cg00126993",189
"cg00127523",190
"cg00128439",191
"cg00130134",192
"cg00130771",193
"cg00131490",194
"cg00133237",195
"cg00133606",196
"cg00134217",197
"cg00134706",198
"cg00137175",199
"cg00138195",200
"cg00139115",201
"cg00140840",202
"cg00141625",203
"cg00143077",204
"cg00143530",205
"cg00143792",206
"cg00145315",207
"cg00146111",208
"cg00146174",209
"cg00146253",210
"cg00146676",211
"cg00147440",212
"cg00147638",213
"cg00149071",214
"cg00149213",215
"cg00149440",216
"cg00149689",217
"cg00152260",218
"cg00152482",219
"cg00153046",220
"cg00153387",221
"cg00154486",222
"cg00156720",223
"cg00156769",224
"cg00157812",225
"cg00158333",226
"cg00159243",227
"cg00159476",228
"cg00159753",229
"cg00160892",230
"cg00162326",231
"cg00162625",232
"cg00164295",233
"cg00165325",234
"cg00166579",235
"cg00166917",236
"cg00167250",237
"cg00167491",238
"cg00167853",239
"cg00168042",240
"cg00168721",241
"cg00168727",242
"cg00168942",243
"cg00169860",244
"cg00170518",245
"cg00174373",246
"cg00174687",247
"cg00175324",248
"cg00176482",249
"cg00177385",250
"cg00178703",251
"cg00179574",252
"cg00179765",253
"cg00180385",254
"cg00180589",255
"cg00180801",256
"cg00180917",257
"cg00181100",258
"cg00181698",259
"cg00183899",260
"cg00184699",261
"cg00185982",262
"cg00186529",263
"cg00187380",264
"cg00187832",265
"cg00189226",266
"cg00190744",267
"cg00190912",268
"cg00190934",269
"cg00191058",270
"cg00192066",271
"cg00192998",272
"cg00193075",273
"cg00193158",274
"cg00193345",275
"cg00194126",276
"cg00194146",277
"cg00194417",278
"cg00194857",279
"cg00195533",280
"cg00195577",281
"cg00196544",282
"cg00197024",283
"cg00197058",284
"cg00197325",285
"cg00197456",286
"cg00199273",287
"cg00199899",288
"cg00200794",289
"cg00200899",290
"cg00201390",291
"cg00202143",292
"cg00202194",293
"cg00203745",294
"cg00204390",295
"cg00204462",296
"cg00205229",297
"cg00205619",298
"cg00206304",299
"cg00207040",300
"cg00207813",301
"cg00207962",302
"cg00208586",303
"cg00209445",304
"cg00211337",305
"cg00211372",306
"cg00211423",307
"cg00211803",308
"cg00213533",309
"cg00214262",310
"cg00215378",311
"cg00216013",312
"cg00216659",313
"cg00217702",314
"cg00218407",315
"cg00218447",316
"cg00219921",317
"cg00220188",318
"cg00220465",319
"cg00220722",320
"cg00220825",321
"cg00222071",322
"cg00222474",323
"cg00223609",324
"cg00225449",325
"cg00227334",326
"cg00228489",327
"cg00230271",328
"cg00232174",329
"cg00234132",330
"cg00234378",331
"cg00235789",332
"cg00236075",333
"cg00236139",334
"cg00236396",335
"cg00238638",336
"cg00238826",337
"cg00239815",338
"cg00240737",339
"cg00240849",340
"cg00242883",341
"cg00243488",342
"cg00244134",343
"cg00244213",344
"cg00246701",345
"cg00246767",346
"cg00247020",347
"cg00247437",348
"cg00247864",349
"cg00247972",350
"cg00249321",351
"cg00249744",352
"cg00249943",353
"cg00250171",354
"cg00250365",355
"cg00250826",356
"cg00251344",357
"cg00251385",358
"cg00251628",359
"cg00251636",360
"cg00252404",361
"cg00252955",362
"cg00253748",363
"cg00253867",364
"cg00256784",365
"cg00256932",366
"cg00257455",367
"cg00257941",368
"cg00257950",369
"cg00258173",370
"cg00258262",371
"cg00259292",372
"cg00259935",373
"cg00259969",374
"cg00261096",375
"cg00261570",376
"cg00261781",377
"cg00262856",378
"cg00263654",379
"cg00264131",380
"cg00264579",381
"cg00264615",382
"cg00265484",383
"cg00266822",384
"cg00267231",385
"cg00267482",386
"cg00267853",387
"cg00269503",388
"cg00270194",389
"cg00271154",390
"cg00271378",391
"cg00271426",392
"cg00271703",393
"cg00272971",394
"cg00273046",395
"cg00273076",396
"cg00274492",397
"cg00279054",398
"cg00279752",399
"cg00280963",400
"cg00281024",401
"cg00281640",402
"cg00281833",403
"cg00282490",404
"cg00282704",405
"cg00282792",406
"cg00284078",407
"cg00286137",408
"cg00286320",409
"cg00286916",410
"cg00287915",411
"cg00289591",412
"cg00290109",413
"cg00290302",414
"cg00290812",415
"cg00292639",416
"cg00293511",417
"cg00294442",418
"cg00295657",419
"cg00295725",420
"cg00296110",421
"cg00296428",422
"cg00297075",423
"cg00297600",424
"cg00297805",425
"cg00297951",426
"cg00298032",427
"cg00298301",428
"cg00298697",429
"cg00299517",430
"cg00300211",431
"cg00300224",432
"cg00300233",433
"cg00301020",434
"cg00301226",435
"cg00301801",436
"cg00304629",437
"cg00304877",438
"cg00306239",439
"cg00307913",440
"cg00308441",441
"cg00308763",442
"cg00309259",443
"cg00309562",444
"cg00309578",445
"cg00310182",446
"cg00310215",447
"cg00311846",448
"cg00311934",449
"cg00312241",450
"cg00314427",451
"cg00315292",452
"cg00316483",453
"cg00317287",454
"cg00318947",455
"cg00319727",456
"cg00320782",457
"cg00321644",458
"cg00323008",459
"cg00323590",460
"cg00323965",461
"cg00324097",462
"cg00324161",463
"cg00324422",464
"cg00324754",465
"cg00324991",466
"cg00325115",467
"cg00325217",468
"cg00325478",469
"cg00325725",470
"cg00328865",471
"cg00330845",472
"cg00331096",473
"cg00331190",474
"cg00331900",475
"cg00332221",476
"cg00332561",477
"cg00334236",478
"cg00335286",479
"cg00338702",480
"cg00339654",481
"cg00339708",482
"cg00340124",483
"cg00343067",484
"cg00343092",485
"cg00343217",486
"cg00345769",487
"cg00345983",488
"cg00347775",489
"cg00349017",490
"cg00349375",491
"cg00350004",492
"cg00350220",493
"cg00350702.1",494
"cg00350702.2",495
"cg00351264",496
"cg00356067",497
"cg00359086",498
"cg00359760",499
"cg00360105",500
"cg00360524",501
"cg00362487",502
"cg00362836",503
"cg00363312",504
"cg00364500",505
"cg00366136",506
"cg00366435",507
"cg00366950",508
"cg00367497",509
"cg00367518",510
"cg00369613",511
"cg00369852",512
"cg00370355",513
"cg00370791",514
"cg00370841",515
"cg00371107",516
"cg00372284",517
"cg00373808",518
"cg00374382",519
"cg00374717",520
"cg00376184",521
"cg00379717",522
"cg00379872",523
"cg00380167",524
"cg00381965",525
"cg00382005",526
"cg00383161",527
"cg00383766",528
"cg00384342",529
"cg00385093",530
"cg00386499",531
"cg00386797",532
"cg00386839",533
"cg00388556",534
"cg00389116",535
"cg00389526",536
"cg00391579",537
"cg00393155",538
"cg00393367",539
"cg00396618",540
"cg00398876",541
"cg00399596",542
"cg00399624",543
"cg00400141",544
"cg00401084",545
"cg00401116",546
"cg00401433",547
"cg00402434",548
"cg00403457",549
"cg00403869",550
"cg00405803",551
"cg00407148",552
"cg00409684",553
"cg00410898.1",554
"cg00410898.2",555
"cg00411555",556
"cg00411965",557
"cg00412772",558
"cg00412805",559
"cg00414520",560
"cg00416783",561
"cg00418090",562
"cg00418401",563
"cg00419202",564
"cg00419757",565
"cg00422594",566
"cg00422680",567
"cg00422730",568
"cg00423854",569
"cg00424048",570
"cg00424298",571
"cg00424367",572
"cg00424624",573
"cg00426154",574
"cg00426659",575
"cg00427623",576
"cg00427871",577
"cg00428557",578
"cg00431549",579
"cg00431974",580
"cg00433042",581
"cg00434962",582
"cg00436603",583
"cg00436746",584
"cg00437193",585
"cg00437358",586
"cg00438646",587
"cg00438946",588
"cg00439117",589
"cg00439253",590
"cg00439445",591
"cg00439981",592
"cg00440980",593
"cg00441553",594
"cg00442423",595
"cg00443041",596
"cg00443833",597
"cg00444649",598
"cg00444928",599
"cg00445879",600
"cg00445959",601
"cg00447136",602
"cg00449321",603
"cg00449726",604
"cg00450713",605
"cg00450884",606
"cg00450891",607
"cg00450910",608
"cg00451044",609
"cg00452125",610
"cg00453591",611
"cg00454274",612
"cg00454305",613
"cg00455143",614
"cg00455362",615
"cg00455875",616
"cg00456768",617
"cg00457583",618
"cg00458124",619
"cg00458681",620
"cg00458823",621
"cg00459263",622
"cg00462525",623
"cg00462994",624
"cg00463693",625
"cg00464569",626
"cg00464610",627
"cg00464803",628
"cg00465284",629
"cg00465985",630
"cg00466720",631
"cg00466950",632
"cg00467357",633
"cg00469450",634
"cg00470694",635
"cg00470955",636
"cg00470976",637
"cg00471170",638
"cg00471663",639
"cg00471664",640
"cg00471897",641
"cg00472347",642
"cg00472898",643
"cg00472926",644
"cg00473176",645
"cg00474060",646
"cg00474657",647
"cg00475260",648
"cg00475509",649
"cg00476429",650
"cg00477261",651
"cg00478851",652
"cg00479641",653
"cg00480149",654
"cg00480381",655
"cg00481760",656
"cg00481951",657
"cg00482994",658
"cg00483633",659
"cg00484915",660
"cg00485323",661
"cg00485681",662
"cg00486031",663
"cg00486113",664
"cg00486998",665
"cg00487538",666
"cg00489376",667
"cg00489428",668
"cg00490620",669
"cg00491561",670
"cg00493297",671
"cg00493831",672
"cg00493843",673
"cg00493887",674
"cg00495443",675
"cg00495518",676
"cg00499875",677
"cg00499973",678
"cg00500341",679
"cg00500681",680
"cg00503840",681
"cg00504333",682
"cg00504554",683
"cg00505361",684
"cg00505445",685
"cg00507817",686
"cg00508255",687
"cg00510450",688
